                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.0468,                 1.6091,                  0.927,                 2.1618,                 1.8132,                0.92318,                0.75162,                0.36744,                0.42767,                0.20711,                 2.2607,                 2.3654,                 0.9622,                  2.328,                 2.5385,                 0.9606,               0.008911,               0.008911,               0.008911
                     25,                 2.0026,                 1.5933,                0.91412,                 2.1259,                 1.7876,                0.91595,                0.81607,                0.37146,                0.46975,                0.20662,                 2.4532,                 2.2274,                 1.3301,                 2.6928,                 2.3111,                 1.3001,              0.0088615,              0.0088615,              0.0088615
                     26,                 2.0689,                 1.6743,                0.92644,                 2.2143,                  1.824,                0.92249,                0.72005,                0.50245,                0.58343,                0.26977,                 2.0285,                 2.0875,                0.94921,                 2.0646,                 2.1192,                0.94806,               0.008812,               0.008812,               0.008812
                     27,                 2.0801,                 1.7099,                 0.9274,                 2.2304,                 1.8769,                0.92445,                 0.6639,                0.51163,                0.56918,                0.25848,                 2.0851,                 2.0419,                0.95474,                 2.1722,                 2.0158,                0.95299,              0.0087625,              0.0087625,              0.0087625
                     28,                 2.0156,                 1.5756,                0.90897,                 2.1055,                 1.7563,                0.91003,                 0.6441,                0.51163,                0.51249,                 0.2302,                 2.2982,                 2.4562,                 1.0783,                 2.2683,                 2.5353,                0.97963,               0.008713,               0.008713,               0.008713
                     29,                 2.0388,                 1.6015,                0.91995,                 2.1457,                 1.7656,                0.91242,                0.79622,                0.34529,                0.44076,                0.21054,                 2.3227,                 2.4352,                0.98956,                 2.3495,                 2.7539,                0.97923,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.9856,                 1.5095,                0.91491,                 2.1025,                 1.6711,                0.90476,                0.76717,                0.50575,                0.58579,                0.27559,                 2.1724,                 2.0444,                0.95668,                 2.1942,                 2.0448,                0.93904,               0.008614,               0.008614,               0.008614
                     31,                 1.9556,                 1.4927,                0.90489,                 2.0442,                 1.6395,                0.90237,                0.70257,                0.55349,                0.60826,                0.27841,                 2.0188,                 2.0105,                0.93415,                 2.0711,                  2.087,                0.93159,              0.0085645,              0.0085645,              0.0085645
                     32,                 2.0176,                 1.5401,                0.90907,                 2.1637,                 1.7356,                0.90745,                 0.7808,                0.44651,                0.53433,                0.24929,                 2.0553,                 2.5668,                0.93904,                 2.0812,                 2.3111,                 0.9405,               0.008515,               0.008515,               0.008515
                     33,                 2.0486,                 1.5109,                0.90958,                  2.184,                 1.6966,                0.91541,                 0.8013,                0.57674,                0.63491,                0.29336,                 1.9913,                 1.9334,                0.94553,                 2.0818,                 1.9814,                0.93564,              0.0084655,              0.0084655,              0.0084655
                     34,                 2.0431,                 1.5215,                 0.9102,                  2.132,                 1.6724,                 0.9085,                 0.6992,                0.50698,                0.57446,                0.27029,                 2.1555,                 1.9367,                 1.0511,                 2.1812,                 2.0618,                0.94711,               0.008416,               0.008416,               0.008416
                     35,                 1.9429,                 1.4472,                0.90336,                 2.1061,                 1.5978,                0.90844,                0.82564,                0.33023,                0.38853,                0.15999,                 3.2146,                 3.0639,                 10.064,                  3.113,                 3.3629,                 4.0938,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.9544,                 1.4864,                 0.9159,                 2.1044,                 1.6589,                0.91195,                0.78435,                0.53953,                0.63304,                0.30467,                 2.0737,                 1.9163,                0.93456,                 2.1715,                 1.9389,                 0.9468,               0.008317,               0.008317,               0.008317
                     37,                 1.9671,                 1.4432,                0.90827,                 2.1002,                  1.594,                0.90925,                0.85854,                0.27442,                0.30652,                0.14651,                 2.8657,                 3.5142,                 12.205,                 2.4088,                  2.466,                 1.6262,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.9621,                 1.4857,                  0.917,                  2.052,                  1.665,                0.91328,                0.59046,                    0.4,                0.46717,                0.23817,                 2.0003,                 2.2952,                0.93528,                 2.0039,                  2.699,                0.93283,               0.008218,               0.008218,               0.008218
                     39,                 1.9039,                 1.5039,                 0.9022,                 2.0724,                 1.6879,                0.90842,                0.91542,                0.44186,                 0.5873,                0.28275,                 2.0019,                 1.8062,                0.94825,                 2.0873,                 1.9094,                0.94478,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.9402,                 1.5032,                0.89369,                 2.0727,                 1.7304,                0.89856,                0.92783,                0.42791,                0.52589,                0.25926,                 2.0554,                 2.3158,                0.93414,                  2.024,                 2.7888,                0.92806,               0.008119,               0.008119,               0.008119
                     41,                 1.9218,                 1.4559,                0.90302,                 2.0867,                   1.62,                 0.9123,                 0.9218,                0.40465,                0.55328,                 0.2661,                 2.1335,                 2.1561,                0.94326,                  2.219,                 2.3943,                0.96096,              0.0080695,              0.0080695,              0.0080695
                     42,                  1.887,                 1.3916,                0.89966,                 2.0592,                 1.5773,                0.90588,                0.86824,                0.55169,                0.64106,                 0.3149,                 2.0108,                 1.7916,                 0.9439,                  2.003,                 1.8389,                0.92928,                0.00802,                0.00802,                0.00802
                     43,                 1.9062,                 1.4122,                0.90565,                 2.0738,                  1.622,                0.90608,                0.86824,                0.55169,                0.64106,                 0.3149,                0.41925,                0.36528,                0.22945,                0.24609,                0.12131,                0.13427,              0.0079705,              0.0079705,              0.0079705
                     44,                  1.935,                 1.4051,                0.89744,                 2.0395,                 1.5417,                0.89716,                0.92589,                0.39535,                0.54593,                0.27249,                 2.1489,                 1.9524,                0.94716,                 2.1675,                 1.9779,                0.94103,               0.007921,               0.007921,               0.007921
                     45,                 1.9134,                 1.4205,                0.89998,                 2.0333,                 1.5615,                0.89905,                0.86785,                0.57674,                0.65302,                0.32471,                 1.9349,                 1.7673,                0.93873,                  2.005,                 1.8141,                0.92855,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.9315,                 1.4187,                0.89988,                 2.0752,                 1.5637,                0.90085,                0.84836,                0.52044,                0.63285,                0.28891,                 2.0573,                  1.821,                0.94867,                 2.2081,                 1.9093,                0.94489,               0.007822,               0.007822,               0.007822
                     47,                 1.8966,                 1.4416,                 0.8992,                 2.0447,                 1.5813,                0.90157,                0.79426,                0.51163,                0.60676,                0.30097,                 1.9985,                 1.7519,                 0.9322,                 2.1866,                 1.8822,                0.95102,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.8655,                 1.4033,                0.89873,                 1.9944,                   1.56,                0.90164,                0.86969,                0.55814,                0.64269,                0.32508,                 2.0009,                 1.8765,                0.92987,                 2.0085,                 1.9009,                0.91402,               0.007723,               0.007723,               0.007723
                     49,                 1.9095,                 1.4065,                0.89789,                 2.0292,                 1.5576,                0.89861,                0.79926,                 0.5814,                0.64026,                0.34277,                 2.0065,                 1.7687,                 0.9251,                 1.9454,                 1.8832,                0.91541,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.8352,                 1.3493,                0.89163,                 1.9815,                 1.5179,                 0.8913,                 0.8959,                0.57209,                0.67749,                0.34175,                 1.9478,                 1.7679,                0.92858,                 2.0028,                 1.8467,                0.92327,               0.007624,               0.007624,               0.007624
                     51,                 1.8501,                 1.2903,                0.88408,                 1.9694,                 1.4081,                0.88756,                0.91374,                0.50233,                0.61811,                0.29749,                 2.0217,                 1.6878,                0.93532,                 2.0506,                 1.8443,                0.92909,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.8901,                 1.3648,                0.88838,                 2.0235,                 1.4942,                0.88507,                0.82637,                0.56744,                0.64038,                0.33284,                 1.9564,                 1.7767,                0.92201,                 1.9734,                 1.8772,                0.91713,               0.007525,               0.007525,               0.007525
                     53,                 1.8245,                 1.3494,                 0.8779,                 1.9366,                 1.4847,                0.87885,                0.84494,                0.53023,                 0.6307,                0.31801,                 2.0131,                 1.8433,                0.91902,                 2.0852,                 1.9561,                0.92676,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.8243,                 1.3036,                0.88446,                 1.9634,                 1.4266,                0.88418,                0.77774,                0.53711,                0.59396,                0.28794,                 2.0899,                 1.9109,                0.97851,                 2.1687,                 1.9128,                 1.0122,               0.007426,               0.007426,               0.007426
                     55,                 1.8859,                 1.3256,                0.88811,                 2.0127,                 1.4365,                 0.8886,                0.68881,                0.51163,                0.52604,                0.26444,                 1.9969,                 2.0089,                0.93692,                 2.0554,                 2.1866,                0.93979,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.8816,                 1.3178,                0.89317,                 2.0012,                 1.4376,                0.89294,                0.85997,                0.57674,                0.66324,                0.32962,                 1.9484,                 1.7403,                0.92557,                 1.9787,                  1.778,                0.92279,               0.007327,               0.007327,               0.007327
                     57,                 1.8111,                 1.2824,                0.89096,                 1.9254,                 1.4146,                0.88831,                0.84628,                0.51213,                0.60884,                0.32535,                 1.9519,                 1.9368,                0.92236,                 1.9798,                 1.9094,                0.92224,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.8264,                 1.2826,                0.88817,                 1.9605,                 1.4125,                0.88968,                0.80936,                0.57267,                0.64656,                0.33925,                 1.9075,                 1.8017,                0.92003,                 1.9465,                 1.8843,                0.92729,               0.007228,               0.007228,               0.007228
                     59,                 1.7901,                 1.2367,                0.88565,                 1.9412,                 1.3559,                 0.8888,                0.79621,                0.58605,                0.67571,                0.33145,                 2.0507,                 1.7523,                0.92881,                 2.0742,                 1.8285,                0.92871,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.8275,                 1.2708,                0.88652,                 1.9646,                 1.3912,                0.88701,                0.76807,                0.61395,                0.64946,                0.34329,                 1.8143,                 1.7508,                0.91136,                 1.9218,                 1.8167,                0.91637,               0.007129,               0.007129,               0.007129
                     61,                 1.7736,                 1.2187,                 0.8893,                 1.9202,                 1.3459,                0.88959,                0.95475,                0.51628,                0.65758,                0.34251,                 1.7876,                 1.9836,                0.91823,                 1.8328,                 2.0974,                0.91391,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.8311,                 1.2762,                0.88644,                 1.9925,                 1.4238,                0.88901,                 0.7984,                0.57674,                0.65828,                0.35269,                 1.8976,                  1.749,                0.92232,                 1.9011,                 1.7787,                0.91856,                0.00703,                0.00703,                0.00703
                     63,                 1.8149,                 1.2654,                0.88191,                 1.9415,                 1.3928,                 0.8825,                0.87934,                0.57674,                0.66432,                0.33808,                 1.8507,                 1.6358,                0.91087,                 2.0115,                 1.6895,                 0.9143,              0.0069805,              0.0069805,              0.0069805
