                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1673,                0.70317,                0.99115,                 1.3548,                0.75067,                 1.0067,                0.92722,                0.90826,                0.94062,                 0.6465,                0.98324,                0.61334,                0.94923,                 1.1831,                0.54851,                0.96495,               0.008911,               0.008911,               0.008911
                     25,                 1.1024,                0.64513,                 0.9607,                 1.3349,                 0.7028,                0.98488,                0.93341,                0.88991,                0.93416,                0.63861,                 1.0093,                0.55664,                 0.9524,                 1.1985,                0.49415,                0.98401,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1221,                 0.6599,                0.97186,                 1.3418,                0.67611,                0.98994,                0.96991,                0.88712,                0.94025,                0.63248,                 1.0868,                0.80351,                0.99557,                 1.2233,                0.81608,                  1.005,               0.008812,               0.008812,               0.008812
                     27,                 1.1828,                0.68916,                0.99038,                 1.4009,                0.68484,                 1.0042,                 0.9255,                0.91176,                0.94162,                 0.6523,                 1.0917,                0.63993,                0.97347,                 1.1748,                0.55776,                0.97348,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0999,                0.62555,                0.96487,                  1.296,                0.62592,                0.97997,                0.91699,                0.87156,                0.92504,                0.65066,                 1.0218,                0.66234,                0.94942,                  1.142,                0.51242,                0.94708,               0.008713,               0.008713,               0.008713
                     29,                 1.1518,                0.64386,                0.97452,                 1.3341,                0.68148,                0.98503,                0.94429,                0.86239,                0.89784,                 0.6467,                 0.9416,                0.57252,                0.93961,                 1.0879,                0.69668,                0.97192,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.1123,                0.63978,                 0.9614,                 1.2907,                 0.6465,                0.96113,                0.98232,                0.91743,                0.94757,                0.67006,                0.97738,                 0.5589,                0.94005,                 1.1229,                0.44425,                0.96207,               0.008614,               0.008614,               0.008614
                     31,                 1.1024,                0.62309,                0.96459,                 1.2923,                0.62753,                0.97751,                0.98989,                0.89829,                0.94853,                0.65319,                0.96859,                0.60525,                0.94703,                 1.1428,                0.53999,                0.95705,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.1222,                0.66508,                0.97267,                 1.2991,                0.64338,                0.97128,                0.98996,                0.90422,                0.94877,                0.64201,                 1.0502,                0.58358,                0.97199,                 1.2096,                 0.5186,                0.98829,               0.008515,               0.008515,               0.008515
                     33,                 1.1119,                0.63008,                0.97162,                 1.2921,                0.61462,                0.97929,                0.94247,                0.94495,                0.94663,                0.64699,                 1.0753,                0.57214,                0.94985,                 1.2564,                0.49435,                0.97333,              0.0084655,              0.0084655,              0.0084655
