                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2396,                0.66641,                 0.9404,                 1.5005,                0.76099,                 0.9354,                0.76295,                0.62716,                0.67649,                0.42714,                 1.2469,                 0.6587,                0.93745,                  1.428,                0.71887,                0.94028,              9.274e-05,              9.274e-05,              9.274e-05
                     25,                 1.2104,                0.64837,                0.93291,                 1.4607,                0.73698,                0.92986,                 0.7761,                0.66717,                0.72658,                0.46405,                 1.2964,                0.68513,                 0.9493,                 1.4612,                0.75602,                0.95241,              9.241e-05,              9.241e-05,              9.241e-05
                     26,                 1.2059,                0.64425,                0.93075,                 1.4581,                0.73067,                0.92806,                0.67282,                0.60835,                0.66959,                0.41717,                 1.2608,                0.65857,                0.93645,                 1.4511,                0.71084,                0.94315,              9.208e-05,              9.208e-05,              9.208e-05
                     27,                 1.2093,                0.64717,                0.93496,                 1.4529,                0.73487,                0.93074,                0.78413,                0.63801,                0.68213,                0.41417,                 1.2493,                0.67776,                 0.9361,                 1.4282,                0.71211,                0.94338,              9.175e-05,              9.175e-05,              9.175e-05
                     28,                  1.202,                0.63808,                0.93244,                 1.4525,                0.72344,                0.92898,                0.74585,                0.66204,                0.71904,                0.45564,                 1.2351,                0.64465,                0.93136,                 1.4262,                0.69187,                0.93715,              9.142e-05,              9.142e-05,              9.142e-05
                     29,                 1.1939,                0.63311,                0.92537,                 1.4498,                0.71077,                0.92568,                0.74437,                0.59569,                0.65295,                0.41549,                 1.2768,                 0.6563,                0.93582,                 1.4689,                 0.6999,                  0.945,              9.109e-05,              9.109e-05,              9.109e-05
                     30,                 1.1932,                  0.626,                 0.9245,                 1.4639,                0.70853,                0.92236,                0.82582,                0.63869,                0.72042,                0.44495,                 1.2494,                 0.6407,                0.93916,                 1.4139,                0.67585,                0.94487,              9.076e-05,              9.076e-05,              9.076e-05
                     31,                 1.2004,                0.62528,                0.92716,                 1.4564,                0.70231,                0.92528,                0.78178,                0.67003,                 0.7327,                0.45052,                 1.2701,                0.63377,                  0.942,                 1.4611,                  0.674,                0.94738,              9.043e-05,              9.043e-05,              9.043e-05
                     32,                 1.1689,                 0.6111,                0.92347,                 1.4279,                0.67329,                0.92381,                0.78641,                0.67952,                0.71255,                0.44712,                 1.2369,                0.62602,                0.93438,                 1.4123,                0.63149,                0.94279,               9.01e-05,               9.01e-05,               9.01e-05
                     33,                 1.1703,                0.61153,                0.92382,                   1.41,                0.67562,                0.92335,                0.80961,                0.73507,                0.74769,                0.48998,                 1.2172,                0.63336,                0.93069,                 1.3917,                0.70807,                0.93782,              8.977e-05,              8.977e-05,              8.977e-05
                     34,                 1.1724,                0.60489,                0.91987,                 1.4211,                 0.6812,                0.91995,                 0.7661,                 0.6445,                0.67987,                0.42252,                 1.2402,                0.62817,                 0.9363,                 1.4253,                0.65036,                0.94598,              8.944e-05,              8.944e-05,              8.944e-05
                     35,                  1.163,                0.59778,                0.92141,                 1.4184,                0.66032,                0.92051,                0.83531,                0.68791,                0.73855,                0.46369,                 1.2673,                0.62733,                0.93969,                 1.4513,                0.66403,                0.94922,              8.911e-05,              8.911e-05,              8.911e-05
                     36,                 1.1644,                0.60213,                0.92297,                 1.4216,                0.67385,                0.92046,                0.79877,                0.68824,                0.72901,                0.47375,                 1.2335,                0.60861,                0.93432,                 1.4027,                0.62603,                0.93708,              8.878e-05,              8.878e-05,              8.878e-05
                     37,                 1.1548,                 0.5938,                0.92002,                 1.4143,                0.65897,                0.91958,                0.78509,                0.68122,                0.68766,                0.43402,                 1.2493,                0.65039,                0.93498,                 1.4091,                0.67832,                0.94051,              8.845e-05,              8.845e-05,              8.845e-05
                     38,                 1.1695,                0.59846,                0.92066,                 1.4184,                0.66109,                0.92022,                 0.7615,                0.70566,                0.73827,                0.46055,                 1.2731,                0.63617,                0.94496,                 1.4454,                0.66236,                0.95065,              8.812e-05,              8.812e-05,              8.812e-05
                     39,                 1.1669,                0.59572,                0.92265,                 1.4159,                0.65734,                0.92092,                0.84448,                0.68097,                 0.7404,                 0.4358,                 1.2907,                0.64758,                0.94556,                 1.4677,                 0.6997,                0.95034,              8.779e-05,              8.779e-05,              8.779e-05
                     40,                 1.1384,                0.57995,                0.91123,                 1.4058,                0.64587,                0.91187,                0.70199,                0.71984,                0.72717,                0.47395,                 1.2308,                0.60273,                 0.9312,                 1.4063,                0.63943,                0.93678,              8.746e-05,              8.746e-05,              8.746e-05
                     41,                 1.1557,                0.58978,                0.91469,                 1.4077,                0.65022,                0.91291,                0.68013,                0.72741,                0.70722,                0.45322,                 1.2191,                0.61527,                0.93094,                 1.3918,                0.63008,                0.93673,              8.713e-05,              8.713e-05,              8.713e-05
                     42,                 1.1524,                 0.5915,                0.92115,                 1.4006,                0.63996,                0.91896,                0.81864,                0.73414,                0.77588,                0.46654,                 1.2313,                0.60493,                0.92852,                 1.4161,                 0.6248,                0.93582,               8.68e-05,               8.68e-05,               8.68e-05
                     43,                 1.1347,                0.58092,                0.91583,                 1.3849,                0.63717,                0.91252,                0.83918,                0.68498,                0.73496,                0.44284,                 1.2247,                0.60483,                0.93228,                 1.3947,                0.63198,                0.93588,              8.647e-05,              8.647e-05,              8.647e-05
                     44,                 1.1342,                0.57694,                 0.9108,                 1.3866,                0.62619,                0.91072,                0.76213,                0.68786,                0.75082,                0.48583,                 1.2346,                0.59832,                  0.935,                 1.4056,                0.62204,                0.93875,              8.614e-05,              8.614e-05,              8.614e-05
                     45,                 1.1431,                  0.586,                0.91392,                 1.3891,                0.63247,                0.91325,                0.90261,                0.74393,                0.80785,                0.51099,                 1.2231,                0.58948,                 0.9267,                 1.3898,                0.61032,                0.93168,              8.581e-05,              8.581e-05,              8.581e-05
                     46,                 1.1206,                0.56872,                0.90879,                 1.3663,                0.62322,                0.90984,                0.81922,                0.64063,                0.73162,                0.46346,                 1.2203,                0.59873,                 0.9289,                 1.3967,                0.62493,                0.93471,              8.548e-05,              8.548e-05,              8.548e-05
                     47,                  1.127,                0.57355,                0.91055,                 1.3764,                0.62162,                0.91075,                0.86519,                0.73953,                0.80464,                 0.5125,                 1.2201,                0.58276,                0.92932,                 1.3897,                0.60744,                0.93583,              8.515e-05,              8.515e-05,              8.515e-05
                     48,                 1.1125,                0.56373,                0.90834,                 1.3723,                 0.6227,                0.90985,                0.87955,                0.72168,                0.79572,                 0.4947,                 1.2195,                0.61015,                 0.9241,                 1.4122,                0.62481,                0.93644,              8.482e-05,              8.482e-05,              8.482e-05
                     49,                 1.1312,                0.57004,                0.91237,                 1.3789,                 0.6199,                0.91361,                0.79223,                0.67593,                0.72387,                0.46552,                 1.2122,                 0.5975,                0.92499,                 1.4037,                0.62592,                0.93509,              8.449e-05,              8.449e-05,              8.449e-05
                     50,                 1.1194,                0.56435,                0.90823,                 1.3692,                0.61489,                 0.9117,                0.79903,                0.74947,                0.78848,                0.49634,                 1.2168,                0.58714,                0.92902,                  1.392,                0.60053,                0.93634,              8.416e-05,              8.416e-05,              8.416e-05
                     51,                 1.1068,                0.56097,                0.90286,                 1.3721,                0.61648,                0.90505,                0.74469,                0.72633,                0.75418,                0.48686,                 1.2201,                 0.5854,                0.92477,                 1.3977,                 0.6012,                0.93597,              8.383e-05,              8.383e-05,              8.383e-05
                     52,                 1.1197,                0.55732,                0.90903,                  1.365,                0.59974,                0.90975,                0.79662,                0.73209,                0.76749,                0.50542,                 1.2277,                0.58998,                0.93017,                 1.3946,                0.59054,                0.93703,               8.35e-05,               8.35e-05,               8.35e-05
                     53,                 1.1146,                0.56376,                0.90859,                 1.3677,                0.61137,                0.90832,                0.79003,                0.76336,                0.78953,                0.50615,                 1.2158,                0.58151,                 0.9299,                 1.3926,                0.59791,                0.93837,              8.317e-05,              8.317e-05,              8.317e-05
                     54,                 1.1085,                0.56324,                0.90637,                 1.3541,                0.60534,                 0.9084,                0.76479,                 0.6781,                0.72072,                 0.4647,                 1.2162,                0.58787,                 0.9276,                 1.3886,                0.62161,                0.93332,              8.284e-05,              8.284e-05,              8.284e-05
                     55,                 1.0911,                0.55613,                0.90482,                 1.3574,                0.61154,                0.90347,                0.82926,                0.72108,                0.75265,                0.46219,                 1.2184,                0.58939,                0.92786,                 1.3854,                0.60211,                0.93201,              8.251e-05,              8.251e-05,              8.251e-05
                     56,                 1.0935,                0.55096,                0.90178,                 1.3474,                0.59885,                0.90341,                0.77614,                0.63129,                0.70608,                0.44482,                 1.2295,                0.63549,                0.93253,                 1.4133,                 0.6744,                0.93945,              8.218e-05,              8.218e-05,              8.218e-05
                     57,                 1.0817,                0.54709,                0.90061,                 1.3339,                0.58987,                0.90322,                0.82357,                  0.704,                0.76443,                0.48026,                 1.2039,                  0.582,                 0.9241,                 1.3771,                0.58651,                0.92972,              8.185e-05,              8.185e-05,              8.185e-05
                     58,                 1.0835,                0.54036,                0.90019,                 1.3382,                0.58076,                 0.9012,                0.80798,                0.67579,                0.75154,                0.49011,                 1.2038,                0.57848,                 0.9284,                 1.3826,                0.59153,                0.93751,              8.152e-05,              8.152e-05,              8.152e-05
                     59,                 1.0888,                0.54083,                0.90004,                 1.3399,                0.57624,                0.90144,                0.83395,                0.69755,                0.75439,                 0.4857,                 1.2319,                0.60151,                0.92981,                 1.3957,                0.64323,                0.93714,              8.119e-05,              8.119e-05,              8.119e-05
                     60,                 1.0911,                0.54265,                0.90209,                 1.3378,                0.58706,                  0.904,                0.84376,                0.70142,                0.76934,                0.49092,                 1.2127,                0.59561,                 0.9282,                 1.3873,                0.62291,                0.93524,              8.086e-05,              8.086e-05,              8.086e-05
                     61,                 1.0948,                0.54713,                0.90048,                 1.3446,                0.58588,                0.90301,                0.82991,                0.71374,                 0.7894,                 0.4936,                 1.2178,                0.58251,                0.93105,                 1.4007,                0.59438,                0.93854,              8.053e-05,              8.053e-05,              8.053e-05
                     62,                 1.0779,                0.53686,                0.89805,                 1.3315,                0.57718,                0.90044,                0.84093,                0.73743,                0.79151,                0.50123,                 1.2173,                0.57719,                0.92658,                  1.387,                0.59256,                0.93389,               8.02e-05,               8.02e-05,               8.02e-05
                     63,                 1.0719,                0.53345,                0.90107,                 1.3221,                0.57702,                0.90288,                0.83793,                0.72166,                0.78411,                0.48961,                 1.2252,                0.57841,                0.92682,                 1.4046,                0.59224,                 0.9342,              7.987e-05,              7.987e-05,              7.987e-05
                     64,                 1.0669,                 0.5291,                0.89672,                 1.3179,                 0.5673,                0.89601,                 0.8513,                0.75957,                0.79009,                 0.5158,                 1.2059,                0.57521,                0.92762,                  1.369,                0.59031,                0.93299,              7.954e-05,              7.954e-05,              7.954e-05
                     65,                 1.0522,                0.52646,                0.89796,                  1.299,                 0.5588,                0.89967,                0.86836,                0.70808,                 0.7684,                0.48805,                 1.2253,                0.59553,                0.92984,                  1.393,                 0.6257,                0.93586,              7.921e-05,              7.921e-05,              7.921e-05
                     66,                 1.0726,                 0.5305,                0.89852,                 1.3252,                0.57297,                0.89797,                 0.8384,                0.76973,                0.80589,                0.51649,                 1.2148,                0.57464,                0.93063,                 1.3782,                0.58682,                0.93362,              7.888e-05,              7.888e-05,              7.888e-05
                     67,                 1.0715,                0.53334,                0.89696,                 1.3263,                0.57285,                0.89726,                0.87832,                0.73582,                0.78194,                0.49582,                 1.2077,                0.56874,                0.92647,                 1.3803,                0.57384,                0.93099,              7.855e-05,              7.855e-05,              7.855e-05
                     68,                 1.0664,                0.52908,                0.89535,                 1.3123,                0.56772,                0.89425,                0.86783,                0.72961,                0.82022,                0.51608,                 1.2176,                0.56583,                0.92727,                 1.3868,                0.56936,                0.93254,              7.822e-05,              7.822e-05,              7.822e-05
